customer_id,country,age,gender,membership_tier,registration_date,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,Segment,churned,data_snapshot_date
C00026,Brazil,50,Female,Free,2023-02-16,567.0,3.0,215.08,3.0,3.0,2.0,8.0,Loyal Customers,1,2026-03-30
C00027,India,30,Male,Free,2026-01-22,62.0,4.0,604.7,5.0,3.0,4.0,12.0,Loyal Customers,0,2026-03-30
C00028,Japan,37,Female,Free,2025-12-20,192.0,2.0,97.23,4.0,3.0,1.0,8.0,Loyal Customers,0,2026-03-30
C00029,France,18,Female,Gold,2022-01-11,124.0,2.0,300.41,5.0,3.0,3.0,11.0,Loyal Customers,0,2026-03-30
C00030,Netherlands,40,Male,Silver,2024-08-01,659.0,3.0,294.71,2.0,3.0,3.0,8.0,At Risk,0,2026-03-30
C00031,Canada,33,Male,Free,2023-10-23,380.0,6.0,740.01,3.0,3.0,5.0,11.0,Loyal Customers,0,2026-03-30
C00032,United States,18,Female,Silver,2023-12-08,166.0,4.0,749.5699999999999,4.0,3.0,5.0,12.0,Loyal Customers,0,2026-03-30
C00033,United Kingdom,38,Female,Free,2025-04-11,8.0,3.0,676.4100000000001,5.0,3.0,5.0,13.0,Loyal Customers,0,2026-03-30
C00034,Canada,36,Male,Silver,2025-07-18,141.0,4.0,617.61,5.0,3.0,4.0,12.0,Loyal Customers,0,2026-03-30
C00035,United States,34,Female,Silver,2023-09-17,2003.0,2.0,78.39,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00036,Brazil,24,Male,Silver,2026-03-02,,,,,,,,No orders in window,0,2026-03-30
C00037,India,48,Male,Platinum,2024-12-15,2244.0,2.0,384.81,1.0,3.0,3.0,7.0,At Risk,0,2026-03-30
C00038,United States,34,Male,Free,2026-02-28,279.0,3.0,437.79,4.0,3.0,4.0,11.0,Loyal Customers,0,2026-03-30
C00039,Canada,55,Male,Free,2025-10-04,889.0,6.0,651.03,2.0,3.0,5.0,10.0,At Risk,0,2026-03-30
C00040,India,32,Male,Free,2025-08-15,660.0,8.0,751.56,2.0,3.0,5.0,10.0,At Risk,0,2026-03-30
C00041,Brazil,41,Female,Free,2025-03-04,121.0,3.0,394.01,5.0,3.0,3.0,11.0,Loyal Customers,0,2026-03-30
C00042,India,40,Female,Free,2022-04-26,300.0,5.0,392.05,4.0,3.0,3.0,10.0,Loyal Customers,0,2026-03-30
C00043,United Kingdom,32,Female,Free,2025-06-15,97.0,3.0,176.6,5.0,3.0,2.0,10.0,Loyal Customers,0,2026-03-30
C00044,United States,56,Male,Free,2025-03-23,690.0,2.0,160.82,2.0,3.0,2.0,7.0,Regular,0,2026-03-30
C00045,South Korea,25,Female,Free,2024-05-23,928.0,2.0,421.12,2.0,3.0,4.0,9.0,At Risk,0,2026-03-30
C00046,Japan,53,Female,Platinum,2022-08-03,600.0,3.0,315.21,3.0,3.0,3.0,9.0,Loyal Customers,0,2026-03-30
C00047,United States,36,Female,Silver,2024-01-30,122.0,3.0,272.32,5.0,3.0,3.0,11.0,Loyal Customers,0,2026-03-30
C00048,Netherlands,48,Female,Free,2019-12-10,2005.0,1.0,247.15,1.0,3.0,2.0,6.0,Regular,0,2026-03-30
C00049,Canada,32,Male,Free,2025-01-27,1576.0,1.0,79.98,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00050,Canada,46,Male,Free,2022-06-30,138.0,2.0,244.99,5.0,3.0,2.0,10.0,Loyal Customers,0,2026-03-30
C00051,United Kingdom,18,Male,Free,2024-08-30,450.0,2.0,460.79,3.0,3.0,4.0,10.0,Loyal Customers,1,2026-03-30
C00052,Germany,20,Male,Silver,2025-04-30,33.0,4.0,277.78,5.0,3.0,3.0,11.0,Loyal Customers,0,2026-03-30
C00053,Brazil,24,Female,Free,2021-12-04,313.0,4.0,338.37,4.0,3.0,3.0,10.0,Loyal Customers,0,2026-03-30
C00054,Japan,24,Female,Gold,2026-02-25,174.0,3.0,394.26,4.0,3.0,3.0,10.0,Loyal Customers,0,2026-03-30
C00055,Mexico,18,Female,Free,2022-03-18,85.0,6.0,1905.26,5.0,3.0,5.0,13.0,Loyal Customers,0,2026-03-30
C00056,Germany,27,Male,Free,2025-05-22,354.0,3.0,716.95,3.0,3.0,5.0,11.0,Loyal Customers,0,2026-03-30
C00057,United States,43,Female,Free,2024-10-24,565.0,2.0,315.23,3.0,3.0,3.0,9.0,Loyal Customers,0,2026-03-30
C00058,Poland,57,Male,Silver,2026-01-14,179.0,3.0,155.82000000000002,4.0,3.0,2.0,9.0,Loyal Customers,0,2026-03-30
C00059,United States,42,Male,Free,2026-03-21,49.0,1.0,65.82,5.0,3.0,1.0,9.0,Loyal Customers,1,2026-03-30
C00060,Australia,28,Male,Free,2025-02-14,386.0,4.0,1213.99,3.0,3.0,5.0,11.0,Loyal Customers,0,2026-03-30
C00061,Germany,38,Female,Free,2025-11-29,651.0,5.0,1075.13,2.0,3.0,5.0,10.0,At Risk,0,2026-03-30
C00062,Germany,37,Male,Gold,2026-02-03,54.0,3.0,295.94,5.0,3.0,3.0,11.0,Loyal Customers,0,2026-03-30
C00063,India,29,Male,Free,2026-03-17,211.0,3.0,427.58,4.0,3.0,4.0,11.0,Loyal Customers,0,2026-03-30
C00064,United States,54,Male,Free,2023-03-17,2235.0,1.0,57.19,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00065,Brazil,32,Male,Free,2025-03-10,1107.0,4.0,401.41,1.0,3.0,4.0,8.0,At Risk,0,2026-03-30
C00066,United Kingdom,48,Male,Silver,2026-03-05,922.0,4.0,206.41,2.0,3.0,2.0,7.0,Regular,0,2026-03-30
C00067,United States,43,Female,Silver,2025-08-18,612.0,3.0,546.76,3.0,3.0,4.0,10.0,Loyal Customers,1,2026-03-30
C00068,Germany,26,Male,Silver,2025-10-21,611.0,1.0,161.68,3.0,3.0,2.0,8.0,Loyal Customers,0,2026-03-30
C00069,Poland,24,Male,Gold,2025-01-03,1045.0,4.0,522.71,2.0,3.0,4.0,9.0,At Risk,0,2026-03-30
C00070,United States,54,Male,Silver,2024-11-22,24.0,6.0,599.11,5.0,3.0,4.0,12.0,Loyal Customers,0,2026-03-30
C00071,United States,18,Male,Free,2024-11-29,1744.0,1.0,53.36,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00072,Singapore,32,Female,Free,2025-05-25,372.0,1.0,85.62,3.0,3.0,1.0,7.0,Loyal Customers,0,2026-03-30
C00073,India,28,Female,Free,2024-09-10,322.0,6.0,606.15,4.0,3.0,4.0,11.0,Loyal Customers,1,2026-03-30
C00074,Uae,24,Female,Silver,2026-03-19,313.0,3.0,395.71,4.0,3.0,3.0,10.0,Loyal Customers,0,2026-03-30
C00075,South Africa,30,Female,Free,2024-02-04,692.0,5.0,865.5999999999999,2.0,3.0,5.0,10.0,At Risk,0,2026-03-30
C00076,India,18,Male,Free,2023-04-04,513.0,4.0,405.38,3.0,3.0,4.0,10.0,Loyal Customers,0,2026-03-30
C00077,India,38,Male,Free,2022-11-23,1996.0,1.0,10.68,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00078,Australia,30,Female,Free,2026-02-14,1873.0,1.0,53.05,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00079,Japan,27,Male,Platinum,2025-12-27,165.0,3.0,108.59,4.0,3.0,1.0,8.0,Loyal Customers,0,2026-03-30
C00080,Germany,43,Female,Gold,2021-02-28,,,,,,,,No orders in window,0,2026-03-30
C00081,United States,37,Female,Free,2022-02-05,1028.0,3.0,117.66,2.0,3.0,1.0,6.0,Regular,1,2026-03-30
C00082,Singapore,25,Male,Free,2025-02-08,409.0,3.0,781.87,3.0,3.0,5.0,11.0,Loyal Customers,0,2026-03-30
C00083,Canada,56,Female,Silver,2022-11-11,,,,,,,,No orders in window,0,2026-03-30
C00084,Brazil,30,Other,Free,2025-10-04,1417.0,3.0,213.49,1.0,3.0,2.0,6.0,Regular,0,2026-03-30
C00085,United States,33,Male,Free,2025-05-11,632.0,4.0,206.5,2.0,3.0,2.0,7.0,Regular,0,2026-03-30
C00086,Netherlands,18,Female,Silver,2026-03-17,1651.0,2.0,572.91,1.0,3.0,4.0,8.0,At Risk,0,2026-03-30
C00087,Poland,29,Male,Gold,2025-05-04,162.0,6.0,633.0699999999999,4.0,3.0,5.0,12.0,Loyal Customers,0,2026-03-30
C00088,France,50,Male,Free,2025-05-18,486.0,3.0,332.62,3.0,3.0,3.0,9.0,Loyal Customers,0,2026-03-30
C00089,United Kingdom,39,Male,Silver,2024-12-29,1014.0,3.0,886.71,2.0,3.0,5.0,10.0,At Risk,0,2026-03-30
C00090,United States,32,Male,Free,2024-12-07,334.0,2.0,281.76,4.0,3.0,3.0,10.0,Loyal Customers,0,2026-03-30
C00091,Singapore,24,Male,Free,2024-12-01,1509.0,1.0,16.82,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00092,India,28,Male,Free,2026-01-26,302.0,2.0,171.7,4.0,3.0,2.0,9.0,Loyal Customers,0,2026-03-30
C00093,Singapore,36,Male,Free,2024-07-04,636.0,3.0,219.46,2.0,3.0,2.0,7.0,Regular,0,2026-03-30
C00094,United States,49,Male,Free,2016-05-15,375.0,3.0,408.51,3.0,3.0,4.0,10.0,Loyal Customers,0,2026-03-30
C00095,United Kingdom,24,Male,Silver,2022-09-01,1101.0,1.0,110.63,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00096,United States,35,Male,Gold,2025-04-14,967.0,3.0,268.27,2.0,3.0,3.0,8.0,At Risk,0,2026-03-30
C00097,Turkey,20,Male,Gold,2026-03-01,452.0,4.0,157.43,3.0,3.0,2.0,8.0,Loyal Customers,0,2026-03-30
C00098,Brazil,43,Female,Free,2025-11-25,259.0,2.0,956.57,4.0,3.0,5.0,12.0,Loyal Customers,0,2026-03-30
C00099,Germany,56,Female,Free,2025-08-26,109.0,3.0,544.1700000000001,5.0,3.0,4.0,12.0,Loyal Customers,0,2026-03-30
C00100,Japan,51,Male,Free,2025-12-07,1910.0,1.0,37.34,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00101,France,36,Male,Free,2026-03-19,926.0,1.0,67.09,2.0,3.0,1.0,6.0,Regular,0,2026-03-30
C00102,Japan,50,Male,Free,2024-11-29,,,,,,,,No orders in window,1,2026-03-30
C00103,France,42,Female,Free,2026-03-07,442.0,6.0,1237.01,3.0,3.0,5.0,11.0,Loyal Customers,0,2026-03-30
C00104,India,37,Male,Free,2025-09-01,295.0,6.0,410.03,4.0,3.0,4.0,11.0,Loyal Customers,0,2026-03-30
C00105,United States,33,Male,Gold,2026-01-28,112.0,7.0,666.85,5.0,3.0,5.0,13.0,Loyal Customers,0,2026-03-30
C00106,United Kingdom,39,Other,Platinum,2024-02-25,519.0,2.0,344.92,3.0,3.0,3.0,9.0,Loyal Customers,0,2026-03-30
C00107,India,55,Male,Free,2026-03-04,837.0,3.0,124.79,2.0,3.0,1.0,6.0,Regular,0,2026-03-30
C00108,Canada,40,Male,Silver,2025-09-16,20.0,5.0,692.1399999999999,5.0,3.0,5.0,13.0,Loyal Customers,0,2026-03-30
C00109,United States,37,Female,Free,2026-03-20,8.0,5.0,312.27,5.0,3.0,3.0,11.0,Loyal Customers,0,2026-03-30
C00110,South Africa,43,Female,Free,2024-03-29,55.0,5.0,556.9,5.0,3.0,4.0,12.0,Loyal Customers,0,2026-03-30
C00111,Germany,29,Female,Gold,2025-12-31,100.0,4.0,463.7,5.0,3.0,4.0,12.0,Loyal Customers,0,2026-03-30
C00112,Netherlands,45,Male,Platinum,2026-03-10,1189.0,2.0,817.3299999999999,1.0,3.0,5.0,9.0,At Risk,0,2026-03-30
C00113,France,34,Male,Free,2024-08-17,80.0,3.0,384.81,5.0,3.0,3.0,11.0,Loyal Customers,0,2026-03-30
C00114,United States,62,Female,Silver,2023-10-21,139.0,7.0,1397.59,5.0,3.0,5.0,13.0,Loyal Customers,0,2026-03-30
C00115,Spain,25,Female,Free,2025-03-03,250.0,4.0,187.46,4.0,3.0,2.0,9.0,Loyal Customers,0,2026-03-30
C00116,Canada,25,Male,Free,2022-07-14,177.0,5.0,473.3,4.0,3.0,4.0,11.0,Loyal Customers,0,2026-03-30
C00117,Japan,44,Female,Free,2019-05-20,716.0,1.0,25.95,2.0,3.0,1.0,6.0,Regular,0,2026-03-30
C00118,Germany,56,Female,Free,2024-01-19,1951.0,2.0,167.27999999999997,1.0,3.0,2.0,6.0,Regular,0,2026-03-30
C00119,India,28,Male,Silver,2023-09-28,34.0,3.0,190.63,5.0,3.0,2.0,10.0,Loyal Customers,0,2026-03-30
C00120,Germany,33,Male,Free,2024-03-06,663.0,3.0,171.71,2.0,3.0,2.0,7.0,Regular,0,2026-03-30
C00121,Italy,45,Other,Gold,2022-01-23,34.0,2.0,187.2,5.0,3.0,2.0,10.0,Loyal Customers,0,2026-03-30
C00122,India,38,Female,Free,2024-11-01,2102.0,1.0,107.01,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00123,Mexico,32,Male,Silver,2021-10-08,,,,,,,,No orders in window,0,2026-03-30
C00124,United Kingdom,48,Male,Free,2025-11-08,202.0,3.0,1192.64,4.0,3.0,5.0,12.0,Loyal Customers,1,2026-03-30
C00125,United States,27,Male,Silver,2024-05-12,680.0,1.0,235.75,2.0,3.0,2.0,7.0,Regular,0,2026-03-30
C00126,Brazil,34,Male,Gold,2025-03-09,699.0,3.0,368.44,2.0,3.0,3.0,8.0,At Risk,0,2026-03-30
C00127,United Kingdom,37,Female,Free,2024-08-27,255.0,3.0,244.42,4.0,3.0,2.0,9.0,Loyal Customers,0,2026-03-30
C00128,United States,74,Male,Silver,2022-01-07,111.0,2.0,457.13,5.0,3.0,4.0,12.0,Loyal Customers,0,2026-03-30
C00129,Germany,26,Female,Free,2025-12-17,331.0,2.0,267.31,4.0,3.0,3.0,10.0,Loyal Customers,0,2026-03-30
C00130,Brazil,26,Male,Free,2026-01-01,1145.0,2.0,467.25,1.0,3.0,4.0,8.0,At Risk,0,2026-03-30
C00131,United States,44,Male,Free,2021-07-05,342.0,3.0,322.46000000000004,4.0,3.0,3.0,10.0,Loyal Customers,1,2026-03-30
C00132,South Africa,36,Male,Free,2025-09-18,950.0,2.0,346.21,2.0,3.0,3.0,8.0,At Risk,1,2026-03-30
C00133,United Kingdom,28,Female,Platinum,2023-04-10,594.0,5.0,627.19,3.0,3.0,5.0,11.0,Loyal Customers,0,2026-03-30
C00134,Spain,35,Male,Free,2024-09-28,281.0,5.0,548.13,4.0,3.0,4.0,11.0,Loyal Customers,0,2026-03-30
C00135,Canada,44,Male,Gold,2024-08-22,33.0,5.0,1029.39,5.0,3.0,5.0,13.0,Loyal Customers,0,2026-03-30
C00136,Australia,49,Male,Silver,2025-04-02,150.0,3.0,358.85,5.0,3.0,3.0,11.0,Loyal Customers,1,2026-03-30
C00137,United States,47,Female,Free,2025-05-23,868.0,4.0,805.6899999999999,2.0,3.0,5.0,10.0,At Risk,1,2026-03-30
C00138,United States,18,Female,Gold,2024-09-20,541.0,3.0,198.23,3.0,3.0,2.0,8.0,Loyal Customers,0,2026-03-30
C00139,Canada,32,Male,Free,2023-09-16,154.0,4.0,524.0,4.0,3.0,4.0,11.0,Loyal Customers,0,2026-03-30
C00140,United States,32,Male,Free,2022-04-30,829.0,2.0,73.53999999999999,2.0,3.0,1.0,6.0,Regular,0,2026-03-30
C00141,Canada,51,Male,Free,2025-07-07,467.0,5.0,432.14,3.0,3.0,4.0,10.0,Loyal Customers,0,2026-03-30
C00142,United Kingdom,37,Male,Silver,2025-11-29,57.0,8.0,486.0,5.0,3.0,4.0,12.0,Loyal Customers,0,2026-03-30
C00143,Germany,44,Male,Free,2023-06-04,815.0,6.0,678.78,2.0,3.0,5.0,10.0,At Risk,1,2026-03-30
C00144,United States,18,Female,Platinum,2025-03-06,349.0,3.0,243.0,3.0,3.0,2.0,8.0,Loyal Customers,0,2026-03-30
C00145,France,29,Male,Free,2023-12-18,1023.0,4.0,188.06,2.0,3.0,2.0,7.0,Regular,0,2026-03-30
C00146,United States,43,Female,Free,2025-09-24,370.0,3.0,348.08,3.0,3.0,3.0,9.0,Loyal Customers,0,2026-03-30
C00147,United States,42,Female,Silver,2021-04-28,422.0,9.0,764.95,3.0,3.0,5.0,11.0,Loyal Customers,0,2026-03-30
C00148,South Korea,18,Female,Free,2024-09-25,1738.0,1.0,639.54,1.0,3.0,5.0,9.0,At Risk,0,2026-03-30
C00149,Germany,28,Female,Free,2022-11-07,1270.0,3.0,183.15,1.0,3.0,2.0,6.0,Regular,0,2026-03-30
C00150,Brazil,44,Female,Free,2026-03-08,485.0,6.0,501.1,3.0,3.0,4.0,10.0,Loyal Customers,0,2026-03-30
C00151,South Korea,31,Female,Silver,2024-09-29,278.0,6.0,1399.92,4.0,3.0,5.0,12.0,Loyal Customers,0,2026-03-30
C00152,United States,18,Male,Free,2024-05-10,48.0,3.0,274.84000000000003,5.0,3.0,3.0,11.0,Loyal Customers,0,2026-03-30
C00153,United States,36,Male,Free,2020-09-26,1940.0,1.0,54.65,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00154,United States,34,Male,Free,2023-02-10,151.0,6.0,496.17,5.0,3.0,4.0,12.0,Loyal Customers,0,2026-03-30
C00155,Germany,40,Male,Free,2022-04-22,677.0,1.0,81.61,2.0,3.0,1.0,6.0,Regular,0,2026-03-30
C00156,United Kingdom,18,Male,Free,2023-01-06,1618.0,3.0,219.54,1.0,3.0,2.0,6.0,Regular,0,2026-03-30
C00157,France,24,Male,Gold,2026-02-21,475.0,5.0,631.06,3.0,3.0,5.0,11.0,Loyal Customers,0,2026-03-30
C00158,Italy,19,Male,Gold,2025-07-11,1009.0,4.0,267.92,2.0,3.0,3.0,8.0,At Risk,0,2026-03-30
C00159,United Kingdom,21,Female,Silver,2024-08-06,106.0,5.0,341.83,5.0,3.0,3.0,11.0,Loyal Customers,0,2026-03-30
C00160,United Kingdom,39,Female,Free,2025-09-16,1029.0,4.0,393.36,2.0,3.0,3.0,8.0,At Risk,0,2026-03-30
C00161,Sweden,61,Male,Free,2021-03-11,125.0,1.0,32.3,5.0,3.0,1.0,9.0,Loyal Customers,0,2026-03-30
C00162,United Kingdom,28,Male,Gold,2025-09-19,356.0,6.0,622.5,3.0,3.0,4.0,10.0,Loyal Customers,0,2026-03-30
C00163,United States,40,Male,Free,2021-03-21,2219.0,1.0,116.17,1.0,3.0,1.0,5.0,Regular,1,2026-03-30
C00164,India,27,Male,Gold,2026-01-13,1094.0,4.0,937.88,1.0,3.0,5.0,9.0,At Risk,0,2026-03-30
C00165,Japan,29,Female,Silver,2022-07-31,1175.0,5.0,963.5,1.0,3.0,5.0,9.0,At Risk,0,2026-03-30
C00166,India,53,Female,Gold,2025-09-27,1400.0,1.0,379.12,1.0,3.0,3.0,7.0,At Risk,0,2026-03-30
C00167,India,38,Female,Silver,2025-08-29,1110.0,2.0,907.14,1.0,3.0,5.0,9.0,At Risk,0,2026-03-30
C00168,India,26,Female,Free,2025-01-12,900.0,1.0,242.35,2.0,3.0,2.0,7.0,Regular,0,2026-03-30
C00169,India,34,Male,Free,2024-06-11,644.0,5.0,667.1700000000001,2.0,3.0,5.0,10.0,At Risk,0,2026-03-30
C00170,India,41,Male,Silver,2023-05-24,806.0,3.0,193.61,2.0,3.0,2.0,7.0,Regular,0,2026-03-30
C00171,Brazil,28,Other,Gold,2025-10-12,51.0,6.0,378.24,5.0,3.0,3.0,11.0,Loyal Customers,0,2026-03-30
C00172,United States,36,Female,Silver,2025-01-26,1347.0,4.0,169.46,1.0,3.0,2.0,6.0,Regular,0,2026-03-30
C00173,Germany,46,Male,Free,2023-04-21,1157.0,2.0,91.52,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00174,United States,36,Male,Free,2025-05-23,1413.0,2.0,169.12,1.0,3.0,2.0,6.0,Regular,0,2026-03-30
C00175,United States,43,Male,Free,2022-10-07,1052.0,4.0,351.89,2.0,3.0,3.0,8.0,At Risk,0,2026-03-30
C00176,United States,31,Female,Silver,2023-04-22,278.0,3.0,181.36,4.0,3.0,2.0,9.0,Loyal Customers,0,2026-03-30
C00177,United Kingdom,24,Female,Free,2023-04-18,1700.0,1.0,110.9,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00178,Australia,34,Male,Free,2026-03-01,51.0,1.0,88.04,5.0,3.0,1.0,9.0,Loyal Customers,0,2026-03-30
C00179,France,56,Male,Free,2025-05-29,993.0,3.0,205.81000000000003,2.0,3.0,2.0,7.0,Regular,1,2026-03-30
C00180,Poland,42,Female,Free,2023-07-16,280.0,4.0,1193.98,4.0,3.0,5.0,12.0,Loyal Customers,0,2026-03-30
C00181,Germany,18,Male,Free,2024-09-19,350.0,4.0,954.09,3.0,3.0,5.0,11.0,Loyal Customers,0,2026-03-30
C00182,United Kingdom,43,Male,Silver,2025-02-16,2003.0,1.0,51.68,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00183,United States,42,Female,Free,2025-04-10,2.0,4.0,968.56,5.0,3.0,5.0,13.0,Loyal Customers,0,2026-03-30
C00184,Germany,28,Female,Gold,2024-08-21,246.0,5.0,487.43,4.0,3.0,4.0,11.0,Loyal Customers,0,2026-03-30
C00185,Australia,35,Male,Free,2026-01-04,562.0,2.0,155.61,3.0,3.0,2.0,8.0,Loyal Customers,0,2026-03-30
C00186,India,39,Female,Gold,2023-10-16,18.0,5.0,656.5,5.0,3.0,5.0,13.0,Loyal Customers,0,2026-03-30
C00187,United Kingdom,27,Female,Free,2024-10-20,1479.0,1.0,283.66,1.0,3.0,3.0,7.0,At Risk,0,2026-03-30
C00188,Japan,47,Male,Free,2025-06-10,290.0,5.0,663.5600000000001,4.0,3.0,5.0,12.0,Loyal Customers,0,2026-03-30
C00189,United States,23,Male,Platinum,2026-02-22,389.0,4.0,402.32,3.0,3.0,4.0,10.0,Loyal Customers,0,2026-03-30
C00190,Australia,22,Female,Free,2026-03-08,351.0,2.0,199.08,3.0,3.0,2.0,8.0,Loyal Customers,0,2026-03-30
C00191,United States,54,Female,Free,2019-11-25,387.0,6.0,785.13,3.0,3.0,5.0,11.0,Loyal Customers,1,2026-03-30
C00192,United States,24,Female,Free,2026-02-25,862.0,2.0,312.21,2.0,3.0,3.0,8.0,At Risk,0,2026-03-30
C00193,Singapore,29,Male,Free,2024-11-02,383.0,1.0,52.66,3.0,3.0,1.0,7.0,Loyal Customers,0,2026-03-30
C00194,India,22,Female,Platinum,2024-12-07,62.0,8.0,812.95,5.0,3.0,5.0,13.0,Loyal Customers,0,2026-03-30
C00195,United States,42,Female,Free,2025-12-20,74.0,3.0,159.22,5.0,3.0,2.0,10.0,Loyal Customers,0,2026-03-30
C00196,South Africa,53,Female,Free,2025-07-07,1308.0,2.0,125.82,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00197,Poland,49,Female,Free,2025-05-14,1536.0,2.0,351.27,1.0,3.0,3.0,7.0,At Risk,0,2026-03-30
C00198,United States,36,Male,Free,2020-12-13,377.0,7.0,765.87,3.0,3.0,5.0,11.0,Loyal Customers,0,2026-03-30
C00199,Singapore,54,Male,Gold,2023-07-11,67.0,5.0,654.1,5.0,3.0,5.0,13.0,Loyal Customers,0,2026-03-30
C00200,United States,33,Female,Gold,2022-10-08,774.0,3.0,145.24,2.0,3.0,2.0,7.0,Regular,1,2026-03-30
C00201,Germany,50,Female,Free,2024-03-04,746.0,3.0,177.76,2.0,3.0,2.0,7.0,Regular,0,2026-03-30
C00202,United States,50,Female,Silver,2025-02-28,152.0,4.0,220.38,5.0,3.0,2.0,10.0,Loyal Customers,0,2026-03-30
C00203,Australia,25,Female,Silver,2025-01-06,,,,,,,,No orders in window,0,2026-03-30
C00204,Netherlands,18,Female,Free,2020-11-06,112.0,3.0,154.29,5.0,3.0,2.0,10.0,Loyal Customers,0,2026-03-30
C00205,United Kingdom,18,Female,Free,2023-06-05,437.0,1.0,88.32,3.0,3.0,1.0,7.0,Loyal Customers,0,2026-03-30
C00206,Netherlands,43,Male,Free,2021-09-21,321.0,2.0,172.54,4.0,3.0,2.0,9.0,Loyal Customers,0,2026-03-30
C00207,South Korea,28,Female,Free,2022-01-07,1164.0,2.0,159.82,1.0,3.0,2.0,6.0,Regular,0,2026-03-30
