order_id,customer_id,order_date,year,month,quarter,category,product_name,quantity,unit_price_usd,subtotal_usd,discount_pct,discount_amount_usd,shipping_fee_usd,tax_amount_usd,total_amount_usd,order_status,payment_method,device_used,session_duration_minutes,has_rating,customer_rating,returned,order_year_month,is_delivered
O000016,C07823,2025-05-14,2025,5,Q2,Beauty & Personal Care,Sunscreen SPF50,1,23.5,23.5,0,0.0,0.0,2.82,26.32,Delivered,Credit Card,Mobile,9.5,0,,0,2025-05,1
O000017,C03783,2022-09-25,2022,9,Q3,Electronics,LED Desk Lamp,1,142.21,142.21,15,21.33,4.99,14.51,140.38,Delivered,Upi / Digital Wallet,Mobile,22.0,0,,0,2022-09,1
O000018,C01465,2025-04-22,2025,4,Q2,Electronics,Wireless Earbuds Pro,2,112.94,225.88,5,11.29,4.99,25.75,245.33,Delivered,Paypal,Desktop,35.8,0,,0,2025-04,1
O000019,C04004,2025-06-26,2025,6,Q2,Clothing & Apparel,Running Shoes,3,50.13,150.39,10,15.04,0.0,13.54,148.89,Delivered,Upi / Digital Wallet,Mobile,49.3,0,,0,2025-06,1
O000020,C02873,2021-03-19,2021,3,Q1,Sports & Outdoors,Yoga Mat Non-slip,1,32.91,32.91,20,6.58,0.0,5.27,31.6,Delivered,Buy Now Pay Later,Desktop,13.0,0,,0,2021-03,1
O000021,C05396,2026-01-24,2026,1,Q1,Automotive,Car Phone Mount,1,41.29,41.29,0,0.0,6.99,4.95,53.23,Delivered,Credit Card,Desktop,15.8,1,3.4,0,2026-01,1
O000022,C06927,2023-07-19,2023,7,Q3,Clothing & Apparel,Winter Jacket,2,29.16,58.32,0,0.0,6.99,11.66,76.97,Cancelled,Paypal,Mobile,5.6,0,,0,2023-07,0
O000023,C00352,2022-08-20,2022,8,Q3,Beauty & Personal Care,Sunscreen SPF50,2,11.66,23.32,0,0.0,6.99,2.33,32.64,Delivered,Buy Now Pay Later,Desktop,5.9,0,,0,2022-08,1
O000024,C05873,2021-01-22,2021,1,Q1,Books,Deep Work,2,15.55,31.1,0,0.0,0.0,2.49,33.59,Delivered,Buy Now Pay Later,Mobile,28.9,1,4.3,0,2021-01,1
O000025,C01275,2025-08-02,2025,8,Q3,Clothing & Apparel,Formal Dress Shirt,1,53.71,53.71,0,0.0,4.99,4.3,63.0,Processing,Buy Now Pay Later,Mobile,22.8,0,,0,2025-08,0
O000026,C01668,2024-11-24,2024,11,Q4,Electronics,Gaming Mouse RGB,1,122.83,122.83,0,0.0,0.0,22.11,144.94,Processing,Credit Card,Mobile,39.5,0,,0,2024-11,0
O000027,C03555,2023-12-08,2023,12,Q4,Health & Wellness,Omega-3 Fish Oil,1,16.97,16.97,0,0.0,4.99,0.85,22.81,Delivered,Credit Card,Tablet,5.9,0,,0,2023-12,1
O000028,C07787,2020-12-14,2020,12,Q4,Jewelry & Accessories,Silk Scarf,2,43.81,87.62,0,0.0,0.0,8.76,96.38,Delivered,Credit Card,Mobile,7.0,1,2.7,0,2020-12,1
O000029,C01926,2024-08-29,2024,8,Q3,Travel & Luggage,Portable Scale,1,156.13,156.13,20,31.23,4.99,12.49,142.38,Delivered,Debit Card,Tablet,4.4,0,,0,2024-08,1
O000030,C02238,2025-01-25,2025,1,Q1,Jewelry & Accessories,Ring Set 5pc,1,169.8,169.8,0,0.0,0.0,13.58,183.38,Delivered,Upi / Digital Wallet,Desktop,4.8,0,,0,2025-01,1
O000031,C00492,2021-08-29,2021,8,Q3,Food & Grocery,Dark Chocolate 85%,4,21.5,86.0,20,17.2,3.99,12.38,85.17,Delivered,Upi / Digital Wallet,Mobile,11.1,0,,0,2021-08,1
O000032,C04094,2025-05-23,2025,5,Q2,Home & Kitchen,Shower Curtain,1,47.05,47.05,15,7.06,0.0,3.2,43.19,Delivered,Debit Card,Mobile,8.0,1,4.8,0,2025-05,1
O000033,C05882,2021-06-22,2021,6,Q2,Electronics,Smart Watch Series 5,1,42.74,42.74,5,2.14,4.99,4.87,50.46,Delivered,Debit Card,Mobile,4.0,0,,0,2021-06,1
O000034,C00293,2025-07-19,2025,7,Q3,Clothing & Apparel,Running Shoes,2,81.87,163.74,0,0.0,4.99,19.65,188.38,Processing,Debit Card,Mobile,37.3,0,,0,2025-07,0
O000035,C03042,2022-08-30,2022,8,Q3,Sports & Outdoors,Hiking Backpack,2,35.34,70.68,0,0.0,6.99,5.65,83.32,Delivered,Bank Transfer,Tablet,13.3,0,,0,2022-08,1
O000036,C07540,2022-07-05,2022,7,Q3,Electronics,Portable Charger 20000mAh,3,133.88,401.64,15,60.25,0.0,40.97,382.36,Delivered,Upi / Digital Wallet,Mobile,10.0,1,3.6,0,2022-07,1
O000037,C01274,2023-06-19,2023,6,Q2,Beauty & Personal Care,Shampoo Argan Oil,1,17.63,17.63,0,0.0,4.99,0.0,22.62,Delivered,Debit Card,Mobile,5.3,1,4.1,0,2023-06,1
O000038,C06513,2020-07-27,2020,7,Q3,Home & Kitchen,Electric Kettle,1,93.1,93.1,0,0.0,3.99,11.17,108.26,Delivered,Debit Card,Desktop,10.8,1,3.0,0,2020-07,1
O000039,C02310,2025-03-21,2025,3,Q1,Sports & Outdoors,Cycling Gloves,1,52.29,52.29,0,0.0,0.0,2.61,54.9,Delivered,Paypal,Mobile,12.4,0,,0,2025-03,1
O000040,C01825,2023-05-04,2023,5,Q2,Health & Wellness,Melatonin 5mg,1,38.24,38.24,30,11.47,0.0,2.68,29.45,Delivered,Credit Card,Desktop,15.4,1,4.8,0,2023-05,1
O000041,C06617,2021-09-01,2021,9,Q3,Clothing & Apparel,Formal Dress Shirt,4,126.56,506.24,0,0.0,4.99,25.31,536.54,Delivered,Paypal,Desktop,2.5,1,4.0,0,2021-09,1
O000042,C07915,2025-04-19,2025,4,Q2,Office Supplies,Desk Organizer,1,44.18,44.18,0,0.0,0.0,0.0,44.18,Delivered,Paypal,Desktop,13.7,0,,0,2025-04,1
O000043,C00957,2021-03-20,2021,3,Q1,Electronics,Mechanical Keyboard,4,179.63,718.52,0,0.0,0.0,143.7,862.22,Delivered,Credit Card,Mobile,39.2,1,4.7,0,2021-03,1
O000044,C05737,2021-03-04,2021,3,Q1,Electronics,USB-C Hub,1,80.95,80.95,0,0.0,6.99,6.48,94.42,Delivered,Credit Card,Mobile,4.7,0,,0,2021-03,1
O000045,C05853,2023-11-09,2023,11,Q4,Home & Kitchen,Mattress Topper,1,54.57,54.57,0,0.0,6.99,4.37,65.93,Delivered,Debit Card,Mobile,3.3,1,3.0,0,2023-11,1
O000046,C05685,2022-01-18,2022,1,Q1,Home & Kitchen,Wall Clock Modern,1,38.15,38.15,0,0.0,6.99,7.63,52.77,Cancelled,Credit Card,Mobile,9.2,0,,0,2022-01,0
O000047,C07293,2020-06-10,2020,6,Q2,Pet Supplies,Flea Collar,1,27.16,27.16,0,0.0,0.0,2.17,29.33,Delivered,Credit Card,Mobile,11.3,0,,0,2020-06,1
O000048,C00452,2025-12-14,2025,12,Q4,Beauty & Personal Care,Vitamin C Serum,4,25.86,103.44,0,0.0,4.99,12.41,120.84,Returned,Credit Card,Desktop,8.7,0,,1,2025-12,0
O000049,C07615,2023-11-16,2023,11,Q4,Electronics,Mechanical Keyboard,1,124.14,124.14,0,0.0,4.99,12.41,141.54,Delivered,Debit Card,Mobile,9.1,0,,0,2023-11,1
O000050,C03219,2023-02-13,2023,2,Q1,Electronics,USB-C Hub,1,95.81,95.81,0,0.0,3.99,0.0,99.8,Delivered,Buy Now Pay Later,Mobile,5.3,1,3.9,0,2023-02,1
O000051,C03444,2023-08-13,2023,8,Q3,Clothing & Apparel,Leather Belt,2,73.19,146.38,0,0.0,0.0,14.64,161.02,Delivered,Upi / Digital Wallet,Mobile,11.9,1,2.2,0,2023-08,1
O000052,C00131,2025-04-23,2025,4,Q2,Electronics,Smart Plug 4-Pack,1,125.61,125.61,0,0.0,0.0,10.05,135.66,Delivered,Credit Card,Desktop,20.6,0,,0,2025-04,1
O000053,C03836,2020-04-14,2020,4,Q2,Clothing & Apparel,Casual Sneakers,1,40.33,40.33,5,2.02,4.99,3.06,46.36,Delivered,Credit Card,Tablet,4.5,1,3.4,0,2020-04,1
O000054,C01124,2024-09-16,2024,9,Q3,Beauty & Personal Care,Sunscreen SPF50,1,44.22,44.22,15,6.63,4.99,6.77,49.35,Delivered,Debit Card,Mobile,53.6,1,4.0,0,2024-09,1
O000055,C07314,2021-06-12,2021,6,Q2,Electronics,Smart Plug 4-Pack,4,223.66,894.64,0,0.0,6.99,0.0,901.63,Delivered,Buy Now Pay Later,Mobile,22.5,1,4.3,0,2021-06,1
O000056,C06526,2024-08-06,2024,8,Q3,Food & Grocery,Energy Bars 12-Pack,1,39.67,39.67,0,0.0,0.0,1.98,41.65,Delivered,Credit Card,Desktop,8.3,0,,0,2024-08,1
O000057,C07987,2025-07-16,2025,7,Q3,Sports & Outdoors,Jump Rope Speed,1,48.84,48.84,0,0.0,6.99,9.77,65.6,Delivered,Upi / Digital Wallet,Mobile,28.0,1,4.4,0,2025-07,1
O000058,C02458,2022-06-26,2022,6,Q2,Health & Wellness,Ashwagandha Extract,1,38.87,38.87,25,9.72,0.0,5.83,34.98,Returned,Buy Now Pay Later,Tablet,5.1,0,,1,2022-06,0
O000059,C02277,2023-08-13,2023,8,Q3,Clothing & Apparel,Slim Fit Jeans,1,36.94,36.94,0,0.0,9.99,0.0,46.93,Delivered,Debit Card,Tablet,21.1,0,,0,2023-08,1
O000060,C04450,2021-03-12,2021,3,Q1,Clothing & Apparel,Slim Fit Jeans,2,70.97,141.94,0,0.0,3.99,14.19,160.12,Delivered,Debit Card,Desktop,24.2,0,,0,2021-03,1
O000061,C06292,2023-08-27,2023,8,Q3,Clothing & Apparel,Formal Dress Shirt,2,78.85,157.7,0,0.0,9.99,15.77,183.46,Delivered,Credit Card,Mobile,6.9,0,,0,2023-08,1
O000062,C07908,2023-05-24,2023,5,Q2,Travel & Luggage,Compression Socks,1,49.41,49.41,0,0.0,9.99,5.93,65.33,Delivered,Paypal,Tablet,36.6,0,,0,2023-05,1
O000063,C05525,2024-12-24,2024,12,Q4,Electronics,Portable Charger 20000mAh,3,96.15,288.45,0,0.0,6.99,0.0,295.44,Delivered,Debit Card,Mobile,17.1,0,,0,2024-12,1
O000064,C05225,2020-11-23,2020,11,Q4,Books,Python Crash Course,1,30.86,30.86,0,0.0,0.0,2.47,33.33,Processing,Credit Card,Mobile,52.5,0,,0,2020-11,0
O000065,C00044,2024-05-10,2024,5,Q2,Home & Kitchen,Storage Containers,1,122.0,122.0,0,0.0,0.0,14.64,136.64,Delivered,Paypal,Desktop,2.3,0,,0,2024-05,1
O000066,C07302,2020-12-12,2020,12,Q4,Home & Kitchen,Coffee Maker Drip,1,50.98,50.98,15,7.65,4.99,4.33,52.65,Delivered,Credit Card,Mobile,42.8,0,,0,2020-12,1
O000067,C03180,2022-10-15,2022,10,Q4,Automotive,USB Car Charger,1,73.73,73.73,5,3.69,0.0,0.0,70.04,Cancelled,Paypal,Desktop,6.5,0,,0,2022-10,0
O000068,C01293,2026-01-30,2026,1,Q1,Health & Wellness,Melatonin 5mg,2,32.61,65.22,0,0.0,6.99,13.04,85.25,Delivered,Bank Transfer,Mobile,1.6,1,4.3,0,2026-01,1
O000069,C00670,2021-02-12,2021,2,Q1,Clothing & Apparel,Hoodie Pullover,2,32.32,64.64,20,12.93,4.99,2.59,59.29,Delivered,Upi / Digital Wallet,Desktop,12.5,1,3.9,0,2021-02,1
O000070,C07819,2023-09-03,2023,9,Q3,Travel & Luggage,Toiletry Bag,1,106.03,106.03,0,0.0,0.0,21.21,127.24,Delivered,Credit Card,Mobile,20.3,1,3.7,0,2023-09,1
O000071,C04042,2025-07-04,2025,7,Q3,Beauty & Personal Care,Sunscreen SPF50,1,21.55,21.55,0,0.0,6.99,3.88,32.42,Processing,Credit Card,Mobile,10.5,0,,0,2025-07,0
O000072,C03557,2021-11-24,2021,11,Q4,Jewelry & Accessories,Sunglasses UV400,3,100.5,301.5,5,15.08,0.0,51.56,337.98,Delivered,Debit Card,Mobile,3.8,0,,0,2021-11,1
O000073,C07787,2021-09-18,2021,9,Q3,Clothing & Apparel,Leather Belt,2,71.56,143.12,0,0.0,4.99,11.45,159.56,Delivered,Upi / Digital Wallet,Desktop,22.4,0,,0,2021-09,1
O000074,C00094,2023-04-29,2023,4,Q2,Home & Kitchen,Mattress Topper,3,61.03,183.09,20,36.62,4.99,11.72,163.18,Delivered,Upi / Digital Wallet,Desktop,9.9,1,4.8,0,2023-04,1
O000075,C07145,2025-12-15,2025,12,Q4,Electronics,LED Desk Lamp,1,104.98,104.98,5,5.25,4.99,19.95,124.67,Delivered,Paypal,Mobile,7.4,1,3.9,0,2025-12,1
O000076,C05703,2021-02-11,2021,2,Q1,Clothing & Apparel,Formal Dress Shirt,1,84.5,84.5,25,21.12,0.0,11.41,74.79,Delivered,Credit Card,Mobile,4.1,1,4.2,0,2021-02,1
O000077,C06190,2022-10-30,2022,10,Q4,Beauty & Personal Care,Hyaluronic Acid Moisturizer,5,18.74,93.7,0,0.0,0.0,7.5,101.2,Delivered,Upi / Digital Wallet,Mobile,22.4,1,3.2,0,2022-10,1
O000078,C01226,2021-10-16,2021,10,Q4,Home & Kitchen,Knife Set 8pc,2,99.75,199.5,20,39.9,6.99,12.77,179.36,Delivered,Cryptocurrency,Mobile,16.6,0,,0,2021-10,1
O000079,C00843,2021-08-31,2021,8,Q3,Electronics,Gaming Mouse RGB,1,189.49,189.49,20,37.9,0.0,30.32,181.91,Delivered,Cryptocurrency,Mobile,9.4,0,,0,2021-08,1
O000080,C04880,2025-08-02,2025,8,Q3,Electronics,USB-C Hub,2,104.13,208.26,0,0.0,4.99,0.0,213.25,Delivered,Buy Now Pay Later,Tablet,4.4,0,,0,2025-08,1
O000081,C06507,2024-02-05,2024,2,Q1,Home & Kitchen,Wall Clock Modern,4,131.07,524.28,0,0.0,9.99,62.91,597.18,Delivered,Paypal,Tablet,9.6,0,,0,2024-02,1
O000082,C03635,2024-05-14,2024,5,Q2,Home & Kitchen,Electric Kettle,1,25.8,25.8,10,2.58,4.99,0.0,28.21,Delivered,Debit Card,Mobile,16.0,1,3.0,0,2024-05,1
O000083,C03234,2021-07-25,2021,7,Q3,Clothing & Apparel,Casual Sneakers,1,73.24,73.24,0,0.0,0.0,7.32,80.56,Delivered,Paypal,Mobile,17.3,0,,0,2021-07,1
O000084,C01268,2025-03-10,2025,3,Q1,Electronics,Bluetooth Speaker,4,186.47,745.88,0,0.0,3.99,134.26,884.13,Delivered,Credit Card,Mobile,11.2,0,,0,2025-03,1
O000085,C06923,2020-10-07,2020,10,Q4,Home & Kitchen,Storage Containers,1,47.15,47.15,0,0.0,3.99,8.49,59.63,Delivered,Upi / Digital Wallet,Mobile,11.1,1,3.7,0,2020-10,1
O000086,C03527,2021-11-13,2021,11,Q4,Sports & Outdoors,Hiking Backpack,1,83.34,83.34,0,0.0,4.99,16.67,105.0,Delivered,Debit Card,Desktop,6.4,1,4.3,0,2021-11,1
O000087,C07378,2024-01-10,2024,1,Q1,Books,Clean Code,2,22.02,44.04,5,2.2,4.99,0.0,46.83,Delivered,Credit Card,Mobile,8.7,1,4.1,0,2024-01,1
O000088,C05595,2020-09-14,2020,9,Q3,Health & Wellness,Zinc Lozenges,3,29.41,88.23,0,0.0,4.99,8.82,102.04,Delivered,Credit Card,Mobile,17.3,0,,0,2020-09,1
O000089,C05351,2021-02-25,2021,2,Q1,Clothing & Apparel,Sports Socks 6-Pack,2,54.71,109.42,0,0.0,0.0,8.75,118.17,Delivered,Credit Card,Desktop,28.3,0,,0,2021-02,1
O000090,C06101,2020-06-05,2020,6,Q2,Electronics,Gaming Mouse RGB,1,280.45,280.45,25,70.11,0.0,42.07,252.41,Delivered,Debit Card,Mobile,8.8,1,4.3,0,2020-06,1
O000091,C06965,2024-05-29,2024,5,Q2,Health & Wellness,Ashwagandha Extract,4,23.55,94.2,0,0.0,0.0,0.0,94.2,Delivered,Upi / Digital Wallet,Desktop,19.8,0,,0,2024-05,1
O000092,C00547,2026-03-30,2026,3,Q1,Home & Kitchen,Electric Kettle,2,37.08,74.16,0,0.0,6.99,0.0,81.15,Delivered,Upi / Digital Wallet,Tablet,33.1,1,4.3,0,2026-03,1
O000093,C04528,2023-09-25,2023,9,Q3,Toys & Games,Stuffed Animal Bear,2,37.55,75.1,0,0.0,9.99,6.01,91.1,Delivered,Credit Card,Desktop,8.7,0,,0,2023-09,1
O000094,C03146,2021-11-06,2021,11,Q4,Jewelry & Accessories,Phone Case Designer,1,78.01,78.01,10,7.8,3.99,8.43,82.63,Delivered,Credit Card,Mobile,13.5,0,,0,2021-11,1
O000095,C02786,2022-04-09,2022,4,Q2,Food & Grocery,Quinoa 2kg,2,30.98,61.96,0,0.0,4.99,0.0,66.95,Delivered,Paypal,Desktop,9.2,0,,0,2022-04,1
O000096,C04311,2024-09-04,2024,9,Q3,Books,The Alchemist,1,22.01,22.01,0,0.0,4.99,2.2,29.2,Processing,Credit Card,Mobile,7.0,0,,0,2024-09,0
O000097,C01652,2023-02-24,2023,2,Q1,Electronics,Smart Plug 4-Pack,1,134.34,134.34,30,40.3,3.99,16.93,114.96,Returned,Credit Card,Mobile,32.0,0,,1,2023-02,0
O000098,C03992,2025-06-01,2025,6,Q2,Beauty & Personal Care,Nail Kit,2,11.91,23.82,0,0.0,0.0,2.86,26.68,Delivered,Credit Card,Tablet,18.2,1,4.8,0,2025-06,1
O000099,C06678,2022-03-05,2022,3,Q1,Automotive,Windshield Cleaner,1,96.42,96.42,0,0.0,0.0,17.36,113.78,Delivered,Paypal,Mobile,9.0,0,,0,2022-03,1
O000100,C00159,2025-12-15,2025,12,Q4,Automotive,USB Car Charger,2,56.0,112.0,0,0.0,0.0,8.96,120.96,Delivered,Bank Transfer,Desktop,4.8,1,4.8,0,2025-12,1
O000101,C04612,2022-07-27,2022,7,Q3,Clothing & Apparel,Classic White Tee,1,67.68,67.68,0,0.0,0.0,6.77,74.45,Delivered,Credit Card,Tablet,8.6,0,,0,2022-07,1
O000102,C06601,2022-10-29,2022,10,Q4,Electronics,Smart Plug 4-Pack,1,192.59,192.59,0,0.0,6.99,19.26,218.84,Delivered,Debit Card,Desktop,17.8,0,,0,2022-10,1
O000103,C01733,2021-09-03,2021,9,Q3,Clothing & Apparel,Slim Fit Jeans,1,113.15,113.15,0,0.0,4.99,0.0,118.14,Delivered,Paypal,Mobile,5.9,0,,0,2021-09,1
O000104,C05648,2026-01-21,2026,1,Q1,Automotive,Dashcam 4K,2,56.99,113.98,0,0.0,0.0,5.7,119.68,Delivered,Paypal,Desktop,31.9,0,,0,2026-01,1
O000105,C07865,2023-10-14,2023,10,Q4,Home & Kitchen,Air Fryer 5L,2,39.64,79.28,15,11.89,9.99,0.0,77.38,Delivered,Credit Card,Mobile,14.2,0,,0,2023-10,1
O000106,C07602,2025-08-28,2025,8,Q3,Sports & Outdoors,Jump Rope Speed,1,31.02,31.02,0,0.0,3.99,6.2,41.21,Delivered,Paypal,Desktop,10.5,0,,0,2025-08,1
O000107,C00919,2021-06-28,2021,6,Q2,Automotive,USB Car Charger,1,90.16,90.16,10,9.02,4.99,8.11,94.24,Delivered,Debit Card,Mobile,6.1,1,4.8,0,2021-06,1
O000108,C03367,2024-03-15,2024,3,Q1,Home & Kitchen,Non-stick Pan,2,58.54,117.08,0,0.0,3.99,0.0,121.07,Delivered,Credit Card,Mobile,11.1,1,3.8,0,2024-03,1
O000109,C02465,2021-10-11,2021,10,Q4,Books,Atomic Habits,5,20.81,104.05,10,10.4,9.99,7.49,111.13,Delivered,Debit Card,Desktop,22.9,0,,0,2021-10,1
O000110,C02037,2025-07-13,2025,7,Q3,Toys & Games,Educational Tablet,1,49.49,49.49,40,19.8,0.0,5.34,35.03,Delivered,Credit Card,Desktop,34.5,0,,0,2025-07,1
O000111,C03409,2022-04-01,2022,4,Q2,Clothing & Apparel,Classic White Tee,2,69.87,139.74,0,0.0,0.0,0.0,139.74,Delivered,Credit Card,Mobile,24.1,1,3.7,0,2022-04,1
O000112,C05689,2025-02-15,2025,2,Q1,Toys & Games,Outdoor Frisbee,3,53.12,159.36,0,0.0,3.99,0.0,163.35,Delivered,Debit Card,Mobile,8.8,0,,0,2025-02,1
O000113,C06211,2021-04-26,2021,4,Q2,Home & Kitchen,Storage Containers,1,91.04,91.04,0,0.0,0.0,7.28,98.32,Delivered,Debit Card,Desktop,7.4,0,,0,2021-04,1
O000114,C04217,2022-08-10,2022,8,Q3,Electronics,Gaming Mouse RGB,1,130.33,130.33,0,0.0,6.99,0.0,137.32,Delivered,Upi / Digital Wallet,Desktop,12.8,1,3.6,0,2022-08,1
O000115,C03724,2020-02-07,2020,2,Q1,Electronics,USB-C Hub,2,178.28,356.56,0,0.0,3.99,42.79,403.34,Delivered,Paypal,Tablet,10.3,1,4.4,0,2020-02,1
O000116,C04818,2020-02-05,2020,2,Q1,Electronics,Webcam 4K,1,65.04,65.04,0,0.0,6.99,11.71,83.74,Delivered,Credit Card,Desktop,7.5,0,,0,2020-02,1
O000117,C04862,2020-04-06,2020,4,Q2,Beauty & Personal Care,Face Wash Gel,2,27.84,55.68,0,0.0,6.99,4.45,67.12,Delivered,Credit Card,Tablet,6.1,1,4.2,0,2020-04,1
O000118,C06876,2024-11-14,2024,11,Q4,Sports & Outdoors,Water Bottle 1L,1,56.5,56.5,0,0.0,0.0,5.65,62.15,Delivered,Paypal,Mobile,7.6,0,,0,2024-11,1
O000119,C00987,2024-04-21,2024,4,Q2,Health & Wellness,Collagen Peptides,1,27.52,27.52,0,0.0,3.99,0.0,31.51,Delivered,Debit Card,Mobile,36.5,0,,0,2024-04,1
O000120,C05828,2026-03-19,2026,3,Q1,Electronics,Portable Charger 20000mAh,1,93.17,93.17,0,0.0,3.99,16.77,113.93,Delivered,Debit Card,Mobile,38.4,1,4.3,0,2026-03,1
O000121,C00218,2020-01-12,2020,1,Q1,Automotive,Steering Wheel Cover,1,44.73,44.73,0,0.0,0.0,8.05,52.78,Delivered,Paypal,Mobile,16.2,0,,0,2020-01,1
O000122,C07835,2024-07-07,2024,7,Q3,Clothing & Apparel,Leather Belt,1,75.51,75.51,0,0.0,0.0,15.1,90.61,Delivered,Credit Card,Mobile,16.6,0,,0,2024-07,1
O000123,C05333,2021-06-23,2021,6,Q2,Health & Wellness,Probiotics 50B,1,10.89,10.89,0,0.0,3.99,1.96,16.84,Delivered,Credit Card,Mobile,46.8,0,,0,2021-06,1
O000124,C05445,2025-04-30,2025,4,Q2,Home & Kitchen,Electric Kettle,2,53.23,106.46,0,0.0,9.99,12.78,129.23,Delivered,Credit Card,Mobile,9.2,1,4.6,0,2025-04,1
O000125,C05122,2025-07-14,2025,7,Q3,Books,Zero to One,1,35.72,35.72,0,0.0,3.99,3.57,43.28,Delivered,Credit Card,Mobile,19.3,0,,0,2025-07,1
O000126,C06517,2024-03-26,2024,3,Q1,Clothing & Apparel,Running Shoes,2,21.22,42.44,20,8.49,6.99,4.07,45.01,Delivered,Buy Now Pay Later,Mobile,27.8,1,4.4,0,2024-03,1
O000127,C00057,2024-09-12,2024,9,Q3,Automotive,Air Freshener,1,50.4,50.4,0,0.0,0.0,5.04,55.44,Delivered,Cryptocurrency,Desktop,42.0,0,,0,2024-09,1
O000128,C05235,2023-10-15,2023,10,Q4,Clothing & Apparel,Classic White Tee,1,95.52,95.52,0,0.0,0.0,4.78,100.3,Delivered,Upi / Digital Wallet,Mobile,4.8,1,3.8,0,2023-10,1
O000129,C03160,2026-03-25,2026,3,Q1,Clothing & Apparel,Classic White Tee,3,72.67,218.01,0,0.0,9.99,43.6,271.6,Delivered,Bank Transfer,Tablet,15.6,0,,0,2026-03,1
O000130,C06925,2023-01-10,2023,1,Q1,Health & Wellness,Ashwagandha Extract,2,26.61,53.22,0,0.0,9.99,4.26,67.47,Returned,Credit Card,Mobile,24.7,0,,1,2023-01,0
O000131,C05825,2022-04-15,2022,4,Q2,Electronics,Webcam 4K,2,128.72,257.44,0,0.0,4.99,25.74,288.17,Delivered,Credit Card,Mobile,12.7,1,4.6,0,2022-04,1
O000132,C06506,2026-03-24,2026,3,Q1,Books,Atomic Habits,1,26.25,26.25,0,0.0,3.99,2.1,32.34,Delivered,Paypal,Mobile,4.9,1,3.9,0,2026-03,1
